Month,tnf_ma
2004-01,19
2004-02,10
2004-03,12
2004-04,5
2004-05,5
2004-06,8
2004-07,8
2004-08,14
2004-09,11
2004-10,22
2004-11,34
2004-12,37
2005-01,25
2005-02,14
2005-03,12
2005-04,7
2005-05,7
2005-06,6
2005-07,8
2005-08,13
2005-09,12
2005-10,32
2005-11,37
2005-12,51
2006-01,24
2006-02,20
2006-03,13
2006-04,9
2006-05,8
2006-06,7
2006-07,7
2006-08,16
2006-09,20
2006-10,34
2006-11,47
2006-12,59
2007-01,30
2007-02,29
2007-03,15
2007-04,12
2007-05,8
2007-06,7
2007-07,12
2007-08,18
2007-09,20
2007-10,31
2007-11,64
2007-12,77
2008-01,34
2008-02,23
2008-03,20
2008-04,12
2008-05,12
2008-06,8
2008-07,10
2008-08,23
2008-09,27
2008-10,42
2008-11,62
2008-12,78
2009-01,49
2009-02,27
2009-03,19
2009-04,12
2009-05,9
2009-06,11
2009-07,12
2009-08,25
2009-09,30
2009-10,56
2009-11,57
2009-12,90
2010-01,43
2010-02,31
2010-03,19
2010-04,12
2010-05,11
2010-06,8
2010-07,13
2010-08,25
2010-09,24
2010-10,41
2010-11,75
2010-12,94
2011-01,52
2011-02,36
2011-03,20
2011-04,16
2011-05,12
2011-06,10
2011-07,13
2011-08,24
2011-09,32
2011-10,50
2011-11,79
2011-12,95
2012-01,45
2012-02,28
2012-03,18
2012-04,12
2012-05,11
2012-06,11
2012-07,13
2012-08,22
2012-09,29
2012-10,39
2012-11,80
2012-12,82
2013-01,42
2013-02,29
2013-03,21
2013-04,15
2013-05,10
2013-06,10
2013-07,14
2013-08,26
2013-09,29
2013-10,41
2013-11,84
2013-12,100
2014-01,47
2014-02,35
2014-03,22
2014-04,15
2014-05,12
2014-06,10
2014-07,15
2014-08,28
2014-09,31
2014-10,41
2014-11,83
2014-12,81
2015-01,43
2015-02,41
2015-03,21
2015-04,14
2015-05,10
2015-06,10
2015-07,13
2015-08,26
2015-09,25
2015-10,48
2015-11,61
2015-12,64
2016-01,43
2016-02,28
2016-03,16
2016-04,12
2016-05,12
2016-06,9
2016-07,13
2016-08,21
2016-09,25
2016-10,38
2016-11,55
2016-12,63
2017-01,28
2017-02,21
2017-03,17
2017-04,12
2017-05,10
2017-06,10
2017-07,14
2017-08,23
2017-09,22
2017-10,27
2017-11,68
2017-12,65
2018-01,34
2018-02,21
2018-03,17
2018-04,14
2018-05,8
2018-06,9
2018-07,14
2018-08,23
2018-09,21
2018-10,38
2018-11,65
2018-12,52
2019-01,28
2019-02,23
2019-03,18
2019-04,12
2019-05,10
2019-06,9
2019-07,12
2019-08,25
2019-09,19
2019-10,28
2019-11,55
2019-12,52
2020-01,22
2020-02,16