county,cuomo,nixon,reported
Kings,179484,110673,0.99
New York,135831,96562,100
Queens,131388,48902,99
Bronx,102844,21425,99
Nassau,71543,20508,100
Westchester,60941,23392,96
Erie,47916,25711,99
Suffolk,47960,16671,99
Monroe,27253,17566,100
Richmond,18650,6695,100
Albany,12519,12767,100
Onondaga,13782,10182,100
Rockland,15186,6983,100
Orange,11540,7310,100
Dutchess,11710,6990,100
Ulster,8202,7982,100
Tompkins,4552,5960,100
Saratoga,4711,5195,100
Broome,5681,4152,100
Niagara,5973,3731,100
Schenectady,3793,4229,100
Rensselaer,3519,4309,100
Oneida,3790,3354,100
Putnam,3188,1891,100
Columbia,2139,2731,100
Ontario,2569,2225,100
Chautauqua,3030,1674,100
St. Lawrence,1913,1852,100
Sullivan,2184,1573,100
Cayuga,1881,1531,100
Chemung,1917,1273,100
Oswego,1577,1534,100
Otsego,1485,1592,100
Madison,1640,1356,100
Steuben,1457,1228,100
Clinton,1234,1164,100
Warren,1212,1147,100
Livingston,1223,1129,100
Wayne,1248,990,100
Jefferson,1128,1098,100
Cattaraugus,1247,940,100
Washington,915,1073,100
Greene,900,1070,100
Delaware,1029,893,100
Cortland,981,834,100
Franklin,940,874,100
Tioga,1026,743,100
Seneca,831,799,100
Essex,899,609,100
Herkimer,753,746,100
Genesee,796,651,100
Chenango,798,621,100
Fulton,626,751,100
Montgomery,641,698,100
Allegany,662,584,100
Schoharie,513,634,100
Schuyler,474,390,100
Wyoming,431,394,100
Orleans,490,333,100
Yates,461,346,100
Lewis,220,264,100
Hamilton,126,101,100