county,total_voters,white_voters
Albany,180498,130568
Allegany,24212,21754
Bronx,747792,122397
Broome,113958,89435
Cattaraugus,43732,37935
Cayuga,44672,39187
Chautauqua,75400,63683
Chemung,48938,41806
Chenango,27995,24922
Clinton,45224,39450
Columbia,39868,32170
Cortland,26725,23242
Delaware,26033,22406
Dutchess,176313,128739
Erie,581436,410966
Essex,23589,20784
Franklin,22274,19511
Fulton,30098,25929
Genesee,35127,30528
Greene,28925,23752
Hamilton,4103,3662
Herkimer,37108,31651
Jefferson,53404,45865
Kings,1446892,378359
Lewis,16579,14289
Livingston,38427,33671
Madison,39192,34443
Monroe,451385,317101
Montgomery,27193,21326
Nassau,932321,531018
New York,1021594,429009
Niagara,130585,105304
Oneida,124088,98628
Onondaga,281655,213898
Ontario,66922,57254
Orange,215628,144050
Orleans,21842,18793
Oswego,67317,59118
Otsego,32441,27785
Putnam,62278,47687
Queens,1142400,308527
Rensselaer,96071,78810
Richmond,286918,161661
Rockland,188999,106602
Saratoga,146161,123258
Schenectady,90988,68468
Schoharie,18032,15585
Schuyler,11447,10215
Seneca,18558,16225
St. Lawrence,58618,52069
Steuben,56702,50307
Suffolk,943159,653192
Sullivan,45729,31748
Tioga,29104,25445
Tompkins,52738,40781
Ulster,114252,88511
Warren,41384,36175
Washington,33801,30302
Wayne,53865,45998
Westchester,567226,318121
Wyoming,23196,20463
Yates,13340,11930