team,conference,division
GB,NFC,NFC North
OAK,AFC,AFC West
NE,AFC,AFC East
PHI,NFC,NFC East
SEA,NFC,NFC West
ARI,NFC,NFC West
NO,NFC,NFC South
CLE,AFC,AFC North
DET,NFC,NFC North
WAS,NFC,NFC East
TEN,AFC,AFC South
BAL,AFC,AFC North
TB,NFC,NFC South
MIN,NFC,NFC North
DEN,AFC,AFC West
PIT,AFC,AFC North
KC,AFC,AFC West
SF,NFC,NFC West
ATL,NFC,NFC South
NYJ,AFC,AFC East
DAL,NFC,NFC East
CIN,AFC,AFC North
MIA,AFC,AFC East
CAR,NFC,NFC South
NYG,NFC,NFC East
BUF,AFC,AFC East
CHI,NFC,NFC North
IND,AFC,AFC South
HOU,AFC,AFC South
JAX,AFC,AFC South
LA,NFC,NFC West
LAC,AFC,AFC West
STL,NFC,NFC West
SD,AFC,AFC West
JAC,AFC,AFC South