country,n
United States,48
Japan,22
United Kingdom,22
Italy,19
Canada,18
Malaysia,17
China,14
Spain,14
France,13
Germany,13
Mexico,13
Philippines,13
Australia,12
Brazil,12
Argentina,11
Finland,11
Norway,11
Algeria,10
Chile,10
Venezuela,10
Iran,9
Korea (South),9
Russia,9
Saudi Arabia,9
Sweden,9
Croatia,8
India,8
Indonesia,8
Ireland,8
Libya,8
Netherlands,8
"United Arab
Emirates",8
Denmark,7
Greece,7
Morocco,7
Nigeria,7
Peru,7
Thailand,7
Turkey,7
Angola,6
Colombia,6
Cyprus,6
"Dominican
Republic",6
Ecuador,6
Iceland,6
Jamaica,6
Mozambique,6
Nicaragua,6
Poland,6
Portugal,6
South Africa,6
Taiwan,6
Tanzania,6
"Trinidad and
Tobago",6
Tunisia,6
Belgium,5
Cuba,5
Fiji,5
Honduras,5
Israel,5
Lebanon,5
"Papua New
Guinea",5
Puerto Rico,5
Suriname,5
Ukraine,5
Vietnam,5
Albania,4
Costa Rica,4
Egypt,4
Gabon,4
Greenland,4
Korea (North),4
Madagascar,4
New Zealand,4
Qatar,4
Romania,4
Solomon Islands,4
Somalia,4
Uruguay,4
Yemen,4
Cameroon,3
Equatorial Guinea,3
Georgia,3
Guatemala,3
Iraq,3
Kuwait,3
Latvia,3
Liberia,3
Myanmar,3
"Netherlands
Antilles",3
Panama,3
Slovenia,3
Sri Lanka,3
Tonga,3
Bahamas,2
Bahrain,2
Bangladesh,2
Bermuda,2
"Brunei
Darussalam",2
Cambodia,2
Canary Islands,2
Comoros,2
"Congo, Dem.
Republic of",2
Dominica,2
El Salvador,2
Estonia,2
Faroe Islands,2
Ghana,2
Guadeloupe,2
Guinea,2
Guyana,2
Kenya,2
Mauritania,2
Montenegro,2
Namibia,2
New Caledonia,2
Pakistan,2
Saint Lucia,2
"Sao Tome and
Principe",2
Sierra Leone,2
Togo,2
"Turks and Caicos
Islands",2
Vanuatu,2
"Virgin Islands
(US)",2
American Samoa,1
Aruba,1
Ascension Island,1
Azerbaijan,1
Barbados,1
Belize,1
Benin,1
Bulgaria,1
Cape Verde,1
Cayman Islands,1
Congo,1
C̫te d'Ivoire,1
Djibouti,1
French Guiana,1
French Polynesia,1
Gambia,1
Gibraltar,1
Guam,1
Guinea-Bissau,1
Haiti,1
Hong Kong,1
Jordan,1
Kiribati,1
Lithuania,1
Macau,1
Malta,1
Martinique,1
Mauritius,1
Micronesia,1
Monaco,1
Montserrat,1
Nauru,1
"Northern Mariana
Islands",1
Reunion,1
"Saint Kitts and
Nevis",1
"Saint Vincent and
the Grenadines",1
Samoa,1
Senegal,1
Seychelles,1
Singapore,1
St. Helena,1
"St. Pierre and
Miquelon",1
Sudan,1
Switzerland,1
Syria,1
Tuvalu,1
Virgin Isl. (US),1
